quelle_seite,tabelle,zeile,spalte_1,spalte_2,spalte_3,spalte_4,spalte_5,spalte_6,spalte_7,spalte_8,spalte_9,spalte_10
1,1,6,,Gesetzliche Krankenversicherung,,,,,,,,
1,1,7,,"Mitglieder,",,,,,,,,
1,1,8,,mitversicherte Angehörige,,,,,,,,
1,1,9,,und Krankenstand,,,,,,,,
1,1,10,,Monatswerte,,,,,,,,
1,1,11,,Januar - April 2026,,,,,,,,
1,1,25,,(Ergebnisse der,,,,,,,,
1,1,26,,GKV-Statistik KM1),,,,,,,,
1,1,27,,Stand: 4. Mai 2026,,,,,,,,
2,1,1,Inhalt,,,,,,,,,
2,1,3,,Seite,,,,,,,,
2,1,4,2026-01-01 00:00:00,3,,,,,,,,
2,1,5,2026-02-01 00:00:00,10,,,,,,,,
2,1,6,2026-03-01 00:00:00,17,,,,,,,,
2,1,7,2026-04-01 00:00:00,24,,,,,,,,
2,1,16,AKV = Allgemeine Krankenversicherung (Mitglieder ohne Rentner),,,,,,,,,
2,1,17,KVdR = Krankenversicherung der Rentner,,,,,,,,,
2,1,18,GKV = Gesetzliche Krankenversicherung (AKV + KVdR),,,,,,,,,
2,1,19,Krankenstand = Arbeitsunfähige krankengeldberechtige Mitglieder,,,,,,,,,
2,1,20,in % zu allen krankengeldberechtigten Mitgliedern,,,,,,,,,
2,1,22,Stichtag jeweils 1. des Monats,,,,,,,,,
2,1,23,"Versichertenabgänge und Versichertenzugänge, Schlüssel 40100-41999:",,,,,,,,,
2,1,24,Nicht alle Ab- und Zugänge können von den Krankenkassen ihrem Grund nach erfasst werden.,,,,,,,,,
2,1,26,Versicherte = Mitglieder und mitversicherte Familienangehörige zusammen,,,,,,,,,
3,1,1,,,,,Monatsstatistik der Gesetzlichen Krankenversicherung,,,,,
3,1,2,,,,,"über Mitglieder, Versicherte und Kranke, Januar 2026",,,,,
3,1,3,,,,,Bund insgesamt,,,,,
3,1,4,Mitgliederstatistik KM1,,,,,,,,,
3,1,5,,,,Insgesamt,AOK,BKK,IKK,LKK,KBS,vdek
3,1,7,,,,Anzahl der Kassen,,,,,,
3,1,9,Kassen insgesamt,,,93,11,68,6,1,1,6
3,1,12,landesunmittelbar,,,34,11,21,2,,,
